,subID,PSE_subt,range_subt,bias_subt,sigma_subt,PSE_pf,slope_pf,range_pf,bias_pf,social_skill,attn_switch,img,attn_to_det,comm,posAffect,negAffect,neuroticism,extraversion,openness,agreeableness,conscientiousness,loneliness,nfriends
10,30016.0,0.3208284994058807,0.6012796486407941,0.6956206539728063,0.1815969181458739,0.4477838552695482,0.5882142837614643,0.5882142837614645,0.5745880222703398,7.0,17.0,9.0,11.0,10.0,22.0,7.0,38.0,44.0,47.0,42.0,32.0,40.0,5.0
11,30017.0,0.5509971796197045,0.9984047915932448,0.1813533156770752,0.0676255222244547,0.5857896363370672,0.8533780200105048,0.8533780200105048,0.0006820259827835128,24.0,18.0,10.0,5.0,19.0,0.0,33.0,57.0,13.0,28.0,33.0,32.0,79.0,1.0
12,30018.0,0.4776413697954618,0.9043676779366858,0.989079034620649,0.0749245367478057,0.4914803047014942,0.5589285797489405,0.5589285797489405,0.5107962134349515,15.0,15.0,13.0,18.0,9.0,16.0,2.0,33.0,29.0,40.0,40.0,40.0,54.0,3.0
13,30019.0,0.1892402433161013,0.5746596427805636,0.9275628375039411,0.1208184481297142,0.2708603603301235,0.5507142917145705,0.5507142917145706,0.7808691040854556,19.0,22.0,11.0,14.0,13.0,18.0,7.0,37.0,28.0,36.0,34.0,46.0,49.0,3.0
14,30020.0,0.5507682045615743,0.5772240210410715,0.37436532019237306,0.1073112422036759,0.6711610516652662,0.6357142939520068,0.6357142939520068,0.20130717372387802,10.0,14.0,9.0,11.0,6.0,15.0,12.0,48.0,30.0,50.0,47.0,54.0,44.0,4.0
15,30022.0,0.3739323218934789,0.9999996187274249,0.9999530195994956,0.0253002324174249,0.5000791510402041,0.9996417546305792,0.9996417546305792,0.27913829050094047,14.0,12.0,14.0,14.444444444444445,11.0,24.0,0.0,24.0,40.0,39.0,43.0,44.0,55.0,1.0
16,30024.0,0.5287288833768315,0.8478144146740476,0.4927465141378931,0.123031833431153,0.7461846145880017,0.452428561768207,0.45242856176820717,0.29659101382793235,8.0,10.0,10.0,23.0,3.0,20.0,3.0,24.0,48.0,46.0,49.0,51.0,40.0,10.0
17,30027.0,0.3221519475918983,0.7271915227556058,0.9408617866244591,0.1184814353677412,0.3976718235554998,0.8539285636984737,0.8395833291121009,1.0,9.0,8.0,6.0,17.0,5.0,27.0,0.0,20.0,46.0,50.0,48.0,58.0,29.55555555555556,10.0
18,30028.0,0.3217713692582785,0.7823558999425396,0.9676042964388539,0.1312794311491271,0.6375368795828474,0.6457142849151256,0.6457142849151256,0.2493279461521037,20.0,21.0,14.0,15.0,14.0,6.0,13.0,46.0,25.0,37.0,39.0,46.0,63.0,3.0
19,30029.0,0.3721002572179432,0.6069733372002268,0.8966351562018532,0.1372783050396306,0.6025061294981849,0.6317857172691485,0.6317857172691486,0.32411896662674233,12.0,10.0,11.0,16.0,7.0,28.0,0.0,16.0,40.0,33.0,47.0,53.0,47.0,1.0
